country,n,total_exposed,total_dead,total_displaced,exposed_per_flood,dead_per_flood,displaced_per_flood,oecd
Uruguay,33,40021.67,11.95,43970.29,1212.78,0.36,1332.43,0
Uzbekistan,15,40923.66,0.68,5650,2728.24,0.05,376.67,0
Venezuela,33,631493.29,132.72,337749.4,19136.16,4.02,10234.83,0
Vietnam,66,58635673.41,1622.45,3066852.76,888419.29,24.58,46467.47,0
Western Sahara,4,77.56,0,0,19.39,0,0,0
Yemen,4,4325.68,7,0,1081.42,1.75,0,0
Yugoslavia,42,238049.78,8.37,9170.49,5667.85,0.2,218.34,0
Zaire,45,223777.27,46.22,43721.56,4972.83,1.03,971.59,0
Zambia,28,506273.51,73.15,55398.05,18081.2,2.61,1978.5,0
Zimbabwe,25,199739.58,81.9,97460.35,7989.58,3.28,3898.41,0
